appln_id,IPC,earliest_filing_year,Company
274487038,G01M,2009,Envision
317278964,F03D,2010,Envision
336703541,F03D,2010,Envision
338930590,F03D,2010,Envision
340294205,F03D,2010,Envision
340294205,F16C,2010,Envision
340294205,F16D,2010,Envision
340294206,F03D,2010,Envision
340294206,F16C,2010,Envision
340500519,F03D,2010,Envision
341195415,F03D,2011,Envision
341645617,F03D,2011,Envision
341645619,F03D,2011,Envision
342051379,F03D,2010,Envision
351965490,B60P,2011,Envision
351965490,F03D,2011,Envision
353691306,F03D,2011,Envision
353691314,F03D,2011,Envision
363981212,F03D,2011,Envision
363981212,H02K,2011,Envision
364336056,F03D,2011,Envision
364444545,F03D,2010,Envision
365159511,F03D,2011,Envision
365159512,B29L,2011,Envision
365159512,F03D,2011,Envision
365857681,F03D,2011,Envision
366017178,F03D,2011,Envision
375607003,F03D,2011,Envision
375984470,F03D,2011,Envision
376344050,F03D,2011,Envision
376353861,E04H,2011,Envision
376353861,F03D,2011,Envision
376353861,H02B,2011,Envision
376772528,F03D,2011,Envision
376841885,F03D,2011,Envision
376841886,F03D,2011,Envision
376847171,F03D,2011,Envision
376847171,H02P,2011,Envision
378856652,F03D,2011,Envision
405840336,F03D,2012,Envision
405840336,H02K,2012,Envision
405986212,F03D,2011,Envision
405986212,F16L,2011,Envision
405986212,H02G,2011,Envision
406758131,F03D,2012,Envision
406933043,H02P,2013,Envision
407123058,F03D,2011,Envision
407123058,H02K,2011,Envision
407148942,B66C,2012,Envision
407148942,F03D,2012,Envision
407149057,F03D,2012,Envision
407331824,F03D,2011,Envision
407331824,H02K,2011,Envision
407342383,F03D,2011,Envision
407342383,H02K,2011,Envision
407342383,H02P,2011,Envision
407523472,F03D,2012,Envision
407528406,B66C,2011,Envision
407528406,F03D,2011,Envision
407528406,F16M,2011,Envision
409606578,H02K,2012,Envision
409694241,H02P,2013,Envision
409696214,F03D,2012,Envision
411563646,F03D,2012,Envision
411563646,H02K,2012,Envision
413009106,F03D,2012,Envision
413009106,H02K,2012,Envision
413885722,F03D,2013,Envision
413885724,F03D,2013,Envision
414072312,F03D,2013,Envision
414073223,F03D,2012,Envision
415340334,G06Q,2013,Envision
415592313,G01R,2013,Envision
416340787,B63B,2012,Envision
416340787,F03D,2012,Envision
416356674,G06F,2013,Envision
416629031,F03D,2013,Envision
417568149,F01D,2012,Envision
417568149,F03D,2012,Envision
417981737,F03D,2013,Envision
418052800,B29C,2013,Envision
418052800,B29L,2013,Envision
418052800,F01D,2013,Envision
418052800,F03D,2013,Envision
419122235,F03D,2012,Envision
419122235,H02G,2012,Envision
420313371,F03D,2013,Envision
420313373,F03D,2013,Envision
420313375,F03D,2013,Envision
420383038,B63B,2013,Envision
420383038,F03D,2013,Envision
421484787,B60P,2013,Envision
421505096,E04H,2013,Envision
421505096,F03D,2013,Envision
426002749,F03D,2014,Envision
426161366,F03D,2013,Envision
437588848,F03D,2013,Envision
440713294,B63B,2014,Envision
440713294,F03D,2014,Envision
441710410,H01M,2013,Envision
441809608,F03D,2014,Envision
442380875,F03D,2014,Envision
442718145,G01B,2013,Envision
444583148,G06Q,2015,Envision
446032144,F03D,2014,Envision
